Job_Family,Job_Profile,Job_Level,Role_Group,Role_Level,Primary_Skills
Software Engineering,Senior Software Engineer,IC3,Backend,Senior Backend Developer - IC3,"Java, Spring"
Software Engineering,Software Engineer,IC2,Backend,Backend Developer - IC2,"Python, REST APIs"
Finance,Financial Analyst,IC2,Financial Planning,Financial Analyst - IC2,"Excel, Financial Modeling"
Finance,Senior Accountant,IC3,Accounting,Senior Accountant - IC3,"SAP, Reconciliation"
Human Resources,HR Generalist,IC1,Employee Relations,HR Generalist - IC1,"Onboarding, Employee Engagement"
Human Resources,HR Manager,IC3,Employee Relations,HR Manager - IC3,"Compliance, HR Strategy"
Application Development,Frontend Developer,IC2,Frontend,Frontend Developer - IC2,"HTML, CSS, JavaScript"
Application Development,Backend Developer,IC2,Backend,Backend Developer - IC2,"Node.js, APIs"
Purchasing,Procurement Specialist,IC1,Procurement,Procurement Specialist - IC1,"Vendor Negotiation, Sourcing"
Purchasing,Purchasing Manager,IC3,Procurement,Purchasing Manager - IC3,"Supply Chain, Forecasting"
Software Engineering,DevOps Engineer,IC2,DevOps,DevOps Engineer - IC2,"CI/CD, Docker"
Application Development,Mobile App Developer,IC2,Mobile,Mobile App Developer - IC2,"Swift, UI Design"
Finance,Accountant,IC1,Accounting,Accountant - IC1,"Bookkeeping, Reports"
Human Resources,Recruiter,IC1,Recruitment,Recruiter - IC1,"Interviewing, ATS"
Purchasing,Buyer's Assistant,IC1,Procurement,Buyer's Assistant - IC1,"Order Tracking, Vendor Management"
Software Engineering,Cloud Engineer,IC3,Cloud,Cloud Engineer - IC3,"AWS, Kubernetes"
Finance,Finance Manager,IC3,Financial Planning,Finance Manager - IC3,"Budgeting, Forecasting"
Application Development,Full Stack Developer,IC2,Full Stack,Full Stack Developer - IC2,"React, Node.js"
Human Resources,HR Coordinator,IC1,Employee Relations,HR Coordinator - IC1,"Coordination, HRMS"
Purchasing,Vendor Manager,IC2,Vendor Management,Vendor Manager - IC2,"Supplier Management, Contracts"
